Time(s),HeartRate(1/min),OxygenSaturation,MeanArterialPressure(mmHg),CardiacOutput(mL/min)
8.74,72.015951,0.974054,95.330571,5787.631885
8.76,72.015951,0.974054,95.330571,5787.631885
8.78,72.015951,0.974054,95.330571,5787.631885
8.80,72.016793,0.974054,95.318684,5786.014560
8.82,72.016793,0.974054,95.318684,5786.014560
8.84,72.016793,0.974054,95.318684,5786.014560
8.86,72.016793,0.974054,95.318684,5786.014560
8.88,72.016793,0.974054,95.318684,5786.014560
8.90,72.016793,0.974058,95.318684,5786.014560
8.92,72.016793,0.974063,95.318684,5786.014560
8.94,72.016793,0.974070,95.318684,5786.014560
8.96,72.016793,0.974076,95.318684,5786.014560
8.98,72.016793,0.974082,95.318684,5786.014560
9.00,72.016793,0.974087,95.318684,5786.014560
9.02,72.016793,0.974091,95.318684,5786.014560
9.04,72.016793,0.974095,95.318684,5786.014560
9.06,72.016793,0.974098,95.318684,5786.014560
9.08,72.016793,0.974100,95.318684,5786.014560
9.10,72.016793,0.974103,95.318684,5786.014560
9.12,72.016793,0.974104,95.318684,5786.014560
9.14,72.016793,0.974106,95.318684,5786.014560
9.16,72.016793,0.974107,95.318684,5786.014560
9.18,72.016793,0.974108,95.318684,5786.014560
9.20,72.016793,0.974109,95.318684,5786.014560
9.22,72.016793,0.974109,95.318684,5786.014560
9.24,72.016793,0.974109,95.318684,5786.014560
9.26,72.016793,0.974109,95.318684,5786.014560
9.28,72.016793,0.974109,95.318684,5786.014560
9.30,72.016793,0.974109,95.318684,5786.014560
9.32,72.016793,0.974109,95.318684,5786.014560
9.34,72.016793,0.974109,95.318684,5786.014560
9.36,72.016793,0.974109,95.318684,5786.014560
9.38,72.016793,0.974109,95.318684,5786.014560
9.40,72.016793,0.974109,95.318684,5786.014560
9.42,72.016793,0.974109,95.318684,5786.014560
9.44,72.016793,0.974109,95.318684,5786.014560
9.46,72.016793,0.974109,95.318684,5786.014560
9.48,72.016793,0.974109,95.318684,5786.014560
9.50,72.016793,0.974109,95.318684,5786.014560
9.52,72.016793,0.974109,95.318684,5786.014560
9.54,72.016793,0.974109,95.318684,5786.014560
9.56,72.016793,0.974109,95.318684,5786.014560
9.58,72.016793,0.974109,95.318684,5786.014560
9.60,72.016793,0.974109,95.318684,5786.014560
9.62,72.016793,0.974109,95.318684,5786.014560
9.64,72.017737,0.974109,95.319785,5787.256893
9.66,72.017737,0.974109,95.319785,5787.256893
9.68,72.017737,0.974109,95.319785,5787.256893
9.70,72.017737,0.974109,95.319785,5787.256893
9.72,72.017737,0.974109,95.319785,5787.256893
9.74,72.017737,0.974109,95.319785,5787.256893
9.76,72.017737,0.974109,95.319785,5787.256893
9.78,72.017737,0.974110,95.319785,5787.256893
9.80,72.017737,0.974110,95.319785,5787.256893
9.82,72.017737,0.974111,95.319785,5787.256893
9.84,72.017737,0.974111,95.319785,5787.256893
9.86,72.017737,0.974112,95.319785,5787.256893
9.88,72.017737,0.974112,95.319785,5787.256893
9.90,72.017737,0.974112,95.319785,5787.256893
9.92,72.017737,0.974112,95.319785,5787.256893
9.94,72.017737,0.974113,95.319785,5787.256893
9.96,72.017737,0.974113,95.319785,5787.256893
9.98,72.017737,0.974113,95.319785,5787.256893
10.00,72.017737,0.974113,95.319785,5787.256893
10.02,72.017737,0.974113,95.319785,5787.256893
10.04,72.017737,0.974113,95.319785,5787.256893
10.06,72.017737,0.974113,95.319785,5787.256893
10.08,72.017737,0.974113,95.319785,5787.256893
10.10,72.017737,0.974113,95.319785,5787.256893
10.12,72.017737,0.974113,95.319785,5787.256893
10.14,72.017737,0.974113,95.319785,5787.256893
10.16,72.017737,0.974113,95.319785,5787.256893
10.18,72.017737,0.974113,95.319785,5787.256893
10.20,72.017737,0.974113,95.319785,5787.256893
10.22,72.017737,0.974113,95.319785,5787.256893
10.24,72.017737,0.974113,95.319785,5787.256893
10.26,72.017737,0.974113,95.319785,5787.256893
10.28,72.017737,0.974113,95.319785,5787.256893
10.30,72.017737,0.974113,95.319785,5787.256893
10.32,72.017737,0.974113,95.319785,5787.256893
10.34,72.017737,0.974113,95.319785,5787.256893
10.36,72.017737,0.974113,95.319785,5787.256893
10.38,72.017737,0.974113,95.319785,5787.256893
10.40,72.017737,0.974113,95.319785,5787.256893
10.42,72.017737,0.974113,95.319785,5787.256893
10.44,72.017737,0.974113,95.319785,5787.256893
10.46,72.017737,0.974113,95.319785,5787.256893
10.48,72.018771,0.974113,95.321722,5787.331190
10.50,72.018771,0.974113,95.321722,5787.331190
10.52,72.018771,0.974113,95.321722,5787.331190
10.54,72.018771,0.974113,95.321722,5787.331190
10.56,72.018771,0.974113,95.321722,5787.331190
10.58,72.018771,0.974108,95.321722,5787.331190
10.60,72.018771,0.974101,95.321722,5787.331190
10.62,72.018771,0.974092,95.321722,5787.331190
10.64,72.018771,0.974084,95.321722,5787.331190
10.66,72.018771,0.974076,95.321722,5787.331190
10.68,72.018771,0.974070,95.321722,5787.331190
10.70,72.018771,0.974064,95.321722,5787.331190
10.72,72.018771,0.974059,95.321722,5787.331190
10.74,72.018771,0.974056,95.321722,5787.331190
10.76,72.018771,0.974052,95.321722,5787.331190
10.78,72.018771,0.974050,95.321722,5787.331190
10.80,72.018771,0.974047,95.321722,5787.331190
10.82,72.018771,0.974045,95.321722,5787.331190
10.84,72.018771,0.974044,95.321722,5787.331190
10.86,72.018771,0.974043,95.321722,5787.331190
10.88,72.018771,0.974042,95.321722,5787.331190
10.90,72.018771,0.974042,95.321722,5787.331190
10.92,72.018771,0.974042,95.321722,5787.331190
10.94,72.018771,0.974042,95.321722,5787.331190
10.96,72.018771,0.974042,95.321722,5787.331190
